101.001,40,AS,10,13
101.002,60,AS,11,15
101.003,100,AS,14,11
101.004,30,AS,13,15
101.005,20,AS,12,14
101.006,10,AS,10,9
101.007,80,AS,11,14
101.008,40,AS,15,16
101.009,40,AS,11,15
101.01,60,AS,13,12
101.011,100,AS,13,15
101.012,30,AS,15,13
101.013,20,AS,11,14
101.014,10,AS,10,12
101.015,80,AS,9,14
101.016,40,AS,12,14
101.017,40,AS,12,9
101.018,60,AS,16,12
101.019,100,AS,16,13
101.02,30,AS,15,10
101.021,20,AS,14,16
101.022,10,AS,9,16
101.023,80,AS,13,10
101.024,40,AS,9,14
101.025,40,AS,12,11
101.026,60,AS,11,16
101.027,100,AS,11,14
101.028,30,AS,12,11
101.029,20,AS,13,9
101.03,10,AS,15,12
101.031,80,AS,15,14
101.032,40,AS,13,14
101.033,40,AS,9,13
101.034,60,AS,11,10
101.035,100,AS,10,16
101.036,30,AS,10,16
101.037,20,AS,16,11
101.038,10,AS,11,10
101.039,80,AS,14,15
101.04,40,AS,16,12
101.041,40,AS,11,16
101.042,60,AS,16,15
101.043,100,AS,14,13
101.044,30,AS,12,16
101.045,20,AS,9,16
101.046,10,AS,14,16
101.047,80,AS,16,11
101.048,40,AS,14,10
101.049,40,AS,10,12
101.05,60,AS,12,13
101.051,100,AS,10,11
101.052,30,AS,14,9
101.053,20,AS,16,11
101.054,10,AS,11,9
101.055,80,AS,11,13
101.056,40,AS,15,13
101.057,40,AS,9,10
101.058,60,AS,12,13
101.059,100,AS,12,13
101.06,30,AS,15,13
101.061,20,AS,15,12
101.062,10,AS,14,12
101.063,80,AS,14,10
101.064,40,AS,15,11
101.065,40,AS,9,16
101.066,60,AS,10,14
101.067,100,AS,14,16
101.068,30,AS,14,9
101.069,20,AS,13,9
101.07,10,AS,15,10
101.071,80,AS,13,14
101.072,40,AS,10,15
101.073,40,AS,12,11
101.074,60,AS,15,10
101.075,100,AS,15,16
101.076,30,AS,15,16
101.077,20,AS,11,13
101.078,10,AS,13,9
101.079,80,AS,11,12
101.08,40,AS,13,11
101.081,40,AS,15,10
101.082,60,AS,14,12
101.083,100,AS,15,16
101.084,30,AS,14,12
101.085,20,AS,9,10
101.086,10,AS,9,14
101.087,80,AS,14,10
101.088,40,AS,11,9
101.089,40,AS,15,16
101.09,60,AS,9,10
101.091,100,AS,14,15
101.092,30,AS,10,15
101.093,20,AS,9,14
101.094,10,AS,12,10
101.095,80,AS,14,10
101.096,40,AS,9,11
101.097,40,AS,11,10
101.098,60,AS,15,9
101.099,100,AS,11,10
101.1,30,AS,14,10
101.101,20,AS,9,12
101.102,10,AS,9,12
101.103,80,AS,13,11
101.104,40,AS,13,9
101.105,40,AS,14,11
101.106,60,AS,14,11
101.107,100,AS,13,10
101.108,30,AS,9,10
101.109,20,AS,16,10
101.11,10,AS,11,13
101.111,80,AS,13,15
101.112,40,AS,10,11
101.113,40,AS,13,10
101.114,60,AS,15,10
101.115,100,AS,12,15
101.116,30,AS,9,13
101.117,20,AS,9,16
101.118,10,AS,12,13
101.119,80,AS,9,10
101.12,40,AS,14,16
101.121,40,AS,9,10
101.122,60,AS,9,13
101.123,100,AS,10,16
101.124,30,AS,13,15
101.125,20,AS,14,9
101.126,10,AS,9,16
101.127,80,AS,11,13
101.128,40,AS,10,11
